,biomass,coal,gas,geothermal,hydro,nuclear,oil,solar,wind,unknown,hydro_storage,production_total,consumption,imported
2019-01-01 15:00:00,5395.0,7675.0,2941.0,3.0,1547.0,7411.0,486.0,68.0,37842.0,380.0,-1302.0,62446.0,49895.0,-12551.0
2019-01-01 15:15:00,5390.0,7666.0,2930.0,3.0,1555.0,7447.0,487.0,17.0,38029.0,380.0,-1845.0,62059.0,50065.0,-11994.0
2019-01-01 15:30:00,5401.0,7686.0,2955.0,3.0,1571.0,7544.0,489.0,2.0,37936.0,380.0,-2683.0,61284.0,50822.0,-10462.0
2019-01-01 15:45:00,5377.0,7744.0,2941.0,3.0,1566.0,7623.0,488.0,0.0,38013.0,380.0,-3392.0,60743.0,51722.0,-9021.0
2019-01-01 16:00:00,5393.0,7748.0,2935.0,3.0,1471.0,7623.0,489.0,0.0,38357.0,380.0,-2918.0,61481.0,53060.0,-8421.0
2019-01-01 16:15:00,5371.0,7808.0,2913.0,3.0,1439.0,7663.0,489.0,0.0,38628.0,380.0,-3430.0,61264.0,53724.0,-7540.0
2019-01-01 16:30:00,5391.0,7732.0,2960.0,3.0,1437.0,7658.0,488.0,0.0,38649.0,380.0,-3425.0,61273.0,54054.0,-7219.0
2019-01-01 16:45:00,5382.0,7628.0,2934.0,3.0,1434.0,7673.0,490.0,0.0,38564.0,380.0,-3820.0,60668.0,54332.0,-6336.0
2019-01-01 17:00:00,5416.0,7622.0,2880.0,3.0,1436.0,7666.0,490.0,0.0,38468.0,380.0,-3301.0,61060.0,54469.0,-6591.0
2019-01-01 17:15:00,5411.0,7639.0,2862.0,3.0,1431.0,7602.0,489.0,0.0,38373.0,380.0,-3190.0,61000.0,54346.0,-6654.0
2019-01-01 17:30:00,5409.0,7633.0,2883.0,3.0,1429.0,7411.0,488.0,0.0,38705.0,380.0,-2996.0,61345.0,54316.0,-7029.0
2019-01-01 17:45:00,5406.0,7650.0,2873.0,3.0,1428.0,7317.0,490.0,0.0,38577.0,380.0,-2786.0,61338.0,54351.0,-6987.0
2019-01-01 18:00:00,5397.0,7672.0,2845.0,3.0,1424.0,7333.0,490.0,0.0,38166.0,380.0,-2826.0,60884.0,54683.0,-6201.0
2019-01-01 18:15:00,5405.0,7655.0,2849.0,3.0,1418.0,7177.0,490.0,0.0,38207.0,380.0,-2493.0,61091.0,53968.0,-7123.0
2019-01-01 18:30:00,5381.0,7661.0,2881.0,3.0,1417.0,7016.0,488.0,0.0,38279.0,380.0,-2234.0,61272.0,53636.0,-7636.0
2019-01-01 18:45:00,5373.0,7638.0,2869.0,3.0,1410.0,6872.0,488.0,0.0,38221.0,380.0,-1994.0,61260.0,52972.0,-8288.0
2019-01-01 19:00:00,5383.0,7621.0,2864.0,3.0,1431.0,6810.0,486.0,0.0,38339.0,381.0,-1614.0,61704.0,52417.0,-9287.0
2019-01-01 19:15:00,5391.0,7619.0,2862.0,3.0,1407.0,6674.0,487.0,0.0,38210.0,381.0,-1258.0,61776.0,52036.0,-9740.0
2019-01-01 19:30:00,5390.0,7599.0,2878.0,3.0,1402.0,6521.0,489.0,0.0,38232.0,380.0,-963.0,61931.0,51327.0,-10604.0
2019-01-01 19:45:00,5368.0,7589.0,2874.0,3.0,1395.0,6389.0,488.0,0.0,38009.0,380.0,-944.0,61551.0,50656.0,-10895.0
2019-01-01 20:00:00,5394.0,7657.0,2760.0,3.0,1419.0,6258.0,487.0,0.0,37735.0,381.0,-314.0,61780.0,50245.0,-11535.0
2019-01-01 20:15:00,5387.0,7649.0,2785.0,3.0,1391.0,6125.0,490.0,0.0,37957.0,381.0,-454.0,61714.0,49790.0,-11924.0
2019-01-01 20:30:00,5389.0,7662.0,2790.0,3.0,1388.0,6112.0,488.0,0.0,37789.0,381.0,-342.0,61660.0,49463.0,-12197.0
2019-01-01 20:45:00,5372.0,7656.0,2792.0,3.0,1393.0,6112.0,488.0,0.0,37590.0,381.0,-362.0,61425.0,49295.0,-12130.0
2019-01-01 21:00:00,5357.0,7671.0,2812.0,3.0,1423.0,6155.0,486.0,0.0,36490.0,381.0,-1690.0,59088.0,49778.0,-9310.0
2019-01-01 21:15:00,5356.0,7613.0,2802.0,3.0,1378.0,6105.0,488.0,0.0,36835.0,381.0,-1321.0,59640.0,49163.0,-10477.0
2019-01-01 21:30:00,5354.0,7606.0,2831.0,3.0,1373.0,6038.0,489.0,0.0,36794.0,381.0,-947.0,59922.0,48519.0,-11403.0
2019-01-01 21:45:00,5350.0,7580.0,2811.0,3.0,1368.0,6007.0,490.0,0.0,37187.0,381.0,-205.0,60972.0,47975.0,-12997.0
2019-01-01 22:00:00,5350.0,7517.0,2766.0,3.0,1371.0,6023.0,490.0,0.0,36819.0,371.0,-38.0,60672.0,47254.0,-13418.0
2019-01-01 22:15:00,5355.0,7446.0,2760.0,3.0,1343.0,5987.0,490.0,0.0,36871.0,371.0,-1.0,60625.0,46499.0,-14126.0
2019-01-01 22:30:00,5337.0,7425.0,2778.0,3.0,1335.0,5980.0,491.0,0.0,36071.0,371.0,-1.0,59790.0,45522.0,-14268.0
2019-01-01 22:45:00,5349.0,7422.0,2802.0,3.0,1333.0,5946.0,489.0,0.0,36097.0,371.0,-1.0,59811.0,45099.0,-14712.0
2019-01-01 23:00:00,5331.0,7658.0,2738.0,3.0,1396.0,5909.0,489.0,0.0,35491.0,378.0,-1.0,59392.0,45260.0,-14132.0
2019-01-01 23:15:00,5318.0,7644.0,2700.0,3.0,1376.0,5771.0,490.0,0.0,34585.0,378.0,-1.0,58264.0,44740.0,-13524.0
2019-01-01 23:30:00,5319.0,7632.0,2730.0,3.0,1380.0,5768.0,489.0,0.0,34388.0,378.0,-1.0,58086.0,43946.0,-14140.0
2019-01-01 23:45:00,5260.0,7642.0,2708.0,3.0,1380.0,5733.0,487.0,0.0,33940.0,378.0,-1.0,57530.0,43327.0,-14203.0
2019-01-02 00:00:00,4939.0,7537.0,2512.0,3.0,1355.0,5758.0,488.0,0.0,33439.0,378.0,-1.0,56408.0,43236.0,-13172.0
2019-01-02 00:15:00,4986.0,7658.0,2542.0,3.0,1338.0,5759.0,488.0,0.0,33745.0,372.0,-1.0,56890.0,42796.0,-14094.0
2019-01-02 00:30:00,4951.0,7466.0,2577.0,3.0,1321.0,5732.0,489.0,0.0,33734.0,372.0,-1.0,56644.0,42768.0,-13876.0
2019-01-02 00:45:00,4948.0,7538.0,2556.0,3.0,1332.0,5693.0,490.0,0.0,33677.0,372.0,-1.0,56608.0,42451.0,-14157.0
2019-01-02 01:00:00,4946.0,7701.0,2545.0,3.0,1339.0,5736.0,489.0,0.0,33246.0,372.0,-1.0,56376.0,42238.0,-14138.0
2019-01-02 01:15:00,4941.0,7881.0,2513.0,3.0,1346.0,5744.0,487.0,0.0,33266.0,372.0,-1.0,56552.0,42227.0,-14325.0
2019-01-02 01:30:00,4935.0,7741.0,2570.0,3.0,1334.0,5723.0,488.0,0.0,33167.0,372.0,-1.0,56332.0,42434.0,-13898.0
2019-01-02 01:45:00,4934.0,7767.0,2560.0,3.0,1342.0,5740.0,487.0,0.0,32749.0,372.0,-1.0,55953.0,42374.0,-13579.0
2019-01-02 02:00:00,4935.0,7806.0,2577.0,3.0,1338.0,5717.0,490.0,0.0,32573.0,372.0,-1.0,55810.0,41421.0,-14389.0
2019-01-02 02:15:00,4927.0,7785.0,2559.0,3.0,1349.0,5723.0,489.0,0.0,32582.0,372.0,-1.0,55788.0,41499.0,-14289.0
2019-01-02 02:30:00,4919.0,8002.0,2604.0,3.0,1321.0,5777.0,490.0,0.0,32602.0,372.0,-1.0,56089.0,42335.0,-13754.0
2019-01-02 02:45:00,4920.0,7985.0,2586.0,3.0,1312.0,5787.0,489.0,0.0,32585.0,372.0,-4.0,56035.0,42480.0,-13555.0
2019-01-02 03:00:00,4909.0,7882.0,2546.0,3.0,1291.0,5754.0,491.0,0.0,32818.0,372.0,-56.0,56010.0,42683.0,-13327.0
2019-01-02 03:15:00,4912.0,7889.0,2623.0,3.0,1292.0,5776.0,490.0,0.0,32941.0,372.0,-54.0,56244.0,43261.0,-12983.0
2019-01-02 03:30:00,4915.0,8007.0,2560.0,3.0,1300.0,5801.0,490.0,0.0,33132.0,372.0,-81.0,56499.0,44025.0,-12474.0
2019-01-02 03:45:00,4974.0,8041.0,2630.0,3.0,1300.0,5797.0,490.0,0.0,32948.0,372.0,-81.0,56474.0,44460.0,-12014.0
2019-01-02 04:00:00,5123.0,8107.0,2873.0,3.0,1306.0,5819.0,490.0,0.0,33515.0,372.0,-269.0,57339.0,45021.0,-12318.0
2019-01-02 04:15:00,5248.0,8169.0,2963.0,3.0,1310.0,5924.0,490.0,0.0,33719.0,372.0,-320.0,57878.0,45714.0,-12164.0
2019-01-02 04:30:00,5288.0,8197.0,3076.0,3.0,1351.0,6112.0,491.0,0.0,34289.0,372.0,-327.0,58852.0,46947.0,-11905.0
2019-01-02 04:45:00,5285.0,8205.0,3218.0,3.0,1383.0,6505.0,490.0,0.0,34635.0,372.0,-371.0,59725.0,48168.0,-11557.0
2019-01-02 05:00:00,5294.0,8511.0,3659.0,3.0,1403.0,7058.0,490.0,0.0,34808.0,372.0,-82.0,61516.0,49783.0,-11733.0
2019-01-02 05:15:00,5303.0,8950.0,3843.0,3.0,1417.0,7504.0,490.0,0.0,35152.0,380.0,-199.0,62843.0,51355.0,-11488.0
2019-01-02 05:30:00,5300.0,9225.0,3976.0,3.0,1418.0,7902.0,492.0,0.0,35328.0,413.0,-311.0,63746.0,53251.0,-10495.0
2019-01-02 05:45:00,5299.0,9469.0,4018.0,3.0,1413.0,8181.0,490.0,0.0,35339.0,423.0,-615.0,64020.0,54928.0,-9092.0
2019-01-02 06:00:00,5317.0,9757.0,4327.0,3.0,1391.0,8328.0,491.0,0.0,35528.0,458.0,-258.0,65342.0,56250.0,-9092.0
2019-01-02 06:15:00,5336.0,10164.0,4343.0,3.0,1397.0,8596.0,491.0,0.0,35543.0,476.0,-420.0,65929.0,57238.0,-8691.0
